video_id,video_name,minute,text
LgLMX5nYfN4,Decision Trees Continuous Attributes - Georgia Tech - Machine Learning,3-4,"20s or you are not. So, the output of that is actually true or false. >> So, I guess the good news there is that now we know how to evaluate attributes like that because we have a formula from ID3 that tells you what to do. But seems like there's an awful lot of different ones to check. >> Right, and in fact if it's truly a continuous variable, there are in principal an infinite number of them checked. But we can do now the sort of cheating you wanted to do before. We can just look at the training set, and we could try to pick questions that cover the sorts of data in the training set. So, for example, if all of the values are in the 20s, then there is no point of even asking the question. You will start just split instead upon values that were, say less than 25 or greater than 25, and you could imagine all kinds of ways where you might do that. You might look at all of the values that show up in the training set, and say well, I am going to do a binary search. So, I am just going to create an attribute for Less than half of whatever is in the training set or greater than half of whatever the range is in the training set. Does that make sense? >> Yeah, that's clever."
LgLMX5nYfN4,Decision Trees Continuous Attributes - Georgia Tech - Machine Learning,4-5,">> Right. Thank you. I just made that up on the spot. Okay, so you do those sorts of things and that's how you would deal with continuous attributes. That brings me to a next question, I'm going to actually do this as a quiz because I want an answer from our audience."
8VG2dCvsAXE,Decision Trees Other Considerations Quiz - Georgia Tech - Machine Learning,0-1,"So, here's the next question I want to ask you, simple true or false question. Does it make sense to repeat an attribute along any given path in the tree? So, if you we pick some attribute like A, should we ever ask a question about A again? Now, I mean something very specific about, by that. I mean, down a particular path of the tree, not just anywhere else in the tree. So, in particular, I mean this. So, I ask a question about A, then I ask a question about B, and then I ask a question about A again. That's the question I'm asking. Not whether A might appear more than once in the tree. So, for example, you might have been the case where A shows up more than once in the tree, but not along the same path. So, in the second case over here, A shows up more than once, but they really don't really have anything to do with one another because once you've answered B, you will only ever ask the question about A once. So, my question to you is,"
8VG2dCvsAXE,Decision Trees Other Considerations Quiz - Georgia Tech - Machine Learning,1-2,does it make sense to repeat A more than once along a particular path in the tree? Yes or no? Answer the question.
U90LuOEQEnA,Decision Trees Other Considerations Quiz Solution - Georgia Tech - Machine Learning,0-1,"Okay, Michael, what's the answer? >> So, alright. Does it make sense to repeat, an attribute along a path in the tree? So, it seems like it could be no, [SOUND] in that, you know, if we're looking at attributes like, you know, is a true, then later we would ask again is a true because we would already have known the answer to that. >> Right, and by the way, information gain will pick that for you automatically. >> It doesn't have to be a special thing in the algorithm, if, if, you consider, an attribute that you've already split on, then you're not going to gain any information, so it's going to be the worst thing, to split on. >> Exactly. >> Alright, but it, >> Okay, doing good. >> But it seems like maybe you're trying to lead us on because ,this we're in the continuous attributes portion of our show. >> Okay, well what's the answer there? Is the answer not also false? >> Well we wouldn't want to ask the same question, about the same attribute. So, we wouldn't have age, between 20 an 30, and then later ask again, age ,between 20 and 30. But ,maybe we want to ask, you know, given that we are less than 20, we're, are we teenagers or not, so we might"
U90LuOEQEnA,Decision Trees Other Considerations Quiz Solution - Georgia Tech - Machine Learning,1-2,"have a different range, on age later in the tree. >> So, that's exactly right, Michael. So, the answer is no, it does not make sense ,to repeat an attribute along a path of the tree, for discrete, value trees. However, for continuous [UNKNOWN] attributes, it does make sense. Because, what you're actually doing, is asking a different question. So, one way to think about this, is that the question is age in the 20's or not. Is actually ,a discreet valued attribute that you've just created, for the purposes of the decision tree. So, asking that question doesn't make sense but asking a different question, about age, does in fact make sense. So ,once you know, that you are not in the 20's you might ask well am I less than, 20 years old? Maybe a teenager or am I greater than 40. How old am I, 44? Greater than 44, in which case, I'm old. >> So if it's, if you ask, [LAUGH] the tree that you drew isn't quite right though, right? >> Yeah, it is. >> because, if you go down the false branch, it means you are less than 20. >> No, I can be greater than 30. >> Oh, good one."
U90LuOEQEnA,Decision Trees Other Considerations Quiz Solution - Georgia Tech - Machine Learning,2-3,">> Yes, I'm very clever, or at least I accidentally got it right. One of the two, it's the same thing. Okay, so there you go."
qDMh645ph0Q,Decision Trees Other Considerations - Georgia Tech - Machine Learning,0-1,">> So, we've answered the thing about continuous attributes. Now, here's another thing. When do we really stop? >> When we get all the answers right. When all the training examples are in the right category. Class. >> Right, so the the answer in the algorithm is when everything is classified correctly. That's a pretty good answer, Michael. But what if we have noise in our data? What if it's the case that we have two examples of the same object, the same instance, but they have two different labels? Then this will never be the case. >> Oh. So, then our algorithm goes into an infinite loop. >> Which seems like a bad idea. >> So we could have, we could, we could just say, or we've run out of attributes. [LAUGH] >> [LAUGH] Or we've run out of attributes. That's one way of doing it. In fact, that, that was, that's going to have to happen at some point, right? That's probably a slightly better answer. Although that doesn't help us in the case where we have continuous attributes and we might ask an infinite number of questions. So we probably"
qDMh645ph0Q,Decision Trees Other Considerations - Georgia Tech - Machine Learning,1-2,"need a slightly better criteria. Don't you think? >> Hm. >> So, what got us down this path, was thinking about what happens if we have noise. Why would we be worried about having noise anyway? >> Noise anyway. Well, I guess the training data might have gotten corrupted a little bit or maybe somebody copied something down wrong. >> Right, so since that's always a possibility, does it really make sense to trust the data completely, and go all the way to the point where we perfectly classify the training data? >> But Charles, if we can't trust our data, what can we trust? >> Well, we can trust our data, but we want to verify. [LAUGH] The whole point is generalization. And if it's possible for us to have a little bit of noise in the data, an error here or there, then we want to have some way to deal to handle that possibility, right? >> I guess so. >> So, what will we do? >> [LAUGH] I mean, we actually have a name for this, right? When you get really, really, really good at classifying your training"
qDMh645ph0Q,Decision Trees Other Considerations - Georgia Tech - Machine Learning,2-3,"data, but it doesn't help you to generalize, we have a name for that. >> Right. That sounds like overfitting. >> Exactly. We have to worry about overfitting. So you can overfit with the decision tree too? >> Yeah. What, you don't believe that? >> No, no, no. I was, I was being naive, I was being, I know that you can overfit a decision tree. [LAUGH] I was just. >> [LAUGH] Yeah but your [SOUND] is the [SOUND] that you use when you're, when you're like, I don't believe what you just said Charles, but I'm going to go along with it anyway, because I have to get off the phone soon. >> [LAUGH] Fair enough. I'll try to, I'll try to have a different personality then. >> [LAUGH] Okay, step one, have a different personality with maximal information gain. Okay, so we don't want to, we don't want to overfit. So we need to come up with some way of overfitting. Now the way you overfit in a decision tree is basically by having a tree that's too big, it's too complicated. All right. Violates Occam's Razor. So, what's a kind of, let's say, modification to something like ID3"
qDMh645ph0Q,Decision Trees Other Considerations - Georgia Tech - Machine Learning,3-4,"to our decision tree algorithm that will help us to avoid overfitting? >> Well last time we talked about overfitting, we said cross-validation was a good way of dealing with it, which, it allowed us to choose from among the different, say degrees of the polynomial. >> Right. >> So maybe we could do something like that? I don't know. Try all the different trees and, see which one has the lowest cross validation error? Maybe there's too many trees. >> Maybe, but that's a perfectly reasonable thing to do, right? You take out a validation set. You build a decision tree, and you test it on the, on the validation set and you pick whichever one has the lowest error in the validation sect, that's one way to avoid it. And then you have, don't have to worry about this question about stopping, you just grow the tree on the training set minus the validation set until it does well on that. And you check it against the crossvalid, you check it against the validation set, and you pick the best one. That's one way of doing it, and that would work perfectly fine. There is another way you can do it that's more efficient. Which is, you"
qDMh645ph0Q,Decision Trees Other Considerations - Georgia Tech - Machine Learning,4-5,"do the same idea validation, except that you hold out a set and as you, everytime you decide whether to expand the tree or not, you check to see how this would do so far in the validation set. And if the error is low enough, then you stop expanding the tree. That's one way of doing it. >> So is there, is there a problem in terms of, I mean if we're expanding the tree depth for search wise, we could be at, you know, we could be looking at one tiny little split on one side of the tree before we even look at any, anything on the other side of the tree. >> That's a fine point. So how would you fix that? >> Maybe expand breadth first? >> Yeah, that would probably do it. Anything else you could think of? Well, so, you could do pruning, right? You could go ahead and do the tree as if you didn't have to worry about over-fitting, and once you have the full tree built, you could then do a kind of, you could do pruning. You could go to the leaves of the tree and say, well, what if I collapse these leaves back up into the tree? How does that create error on my validation set? And if the"
qDMh645ph0Q,Decision Trees Other Considerations - Georgia Tech - Machine Learning,5-6,"error is too big, then you don't do it. And if it's very small, then you go ahead and do it. And that should help you with overfitting. So, that whole class of ways of doing it, is called pruning. And there's a whole bunch of different ways you might prune. But pruning, itself, is one way of dealing with overfitting, and giving you a smaller tree. And it's a very simple addition to the standard ID3 algorithm."
dE7bgpf0okQ,Decision Trees Other Considerations  Regression - Georgia Tech - Machine Learning,0-1,"So another consideration we might want to think about with decision trees but you're not going to go into a lot of detail but I think might be worth at least mentioning is the problem of regression. So, so far we've only been doing classification ,where the outputs are discreet, but what if we were trying to solve something that looked more like x squared or two x plus 17, or some other continuous function. In other words, a regression problem. How would we have to adapt decision trees, to do that? Any ideas Michael? >> So these are now continuous outputs, not just continuous inputs. >> Right, maybe the outputs are all continuous, maybe the outputs are discrete, maybe they're a mix of both. >> Well it certainly seems like out rule of using, information gain is going to run into trouble because it's not really clear how you measure information on these continuous values. So, I guess you could measure error some other way. Well we're not, it's not, it's"
dE7bgpf0okQ,Decision Trees Other Considerations  Regression - Georgia Tech - Machine Learning,1-2,"not error right it's tryin to measure how mixed up things are? Oh so ,maybe something like variance? Cause in a continuous space you could talk about you know, if there's a big spread of, in the values that, that would be measured by the variance. >> Oh good. So what you really have now is a question about splitting. What's the splitting criteria? Maybe [CROSSTALK] >> I guess there's also an issue of, of what you do in the leaves. >> Right. So, what might you do in the leaves? >> I guess you could do some sort of more standard kind of fitting algorithm. So, like, report the average or, or do some kind of a linear fit. [SOUND] >> Is any number of things you can do. By the way ,that's worth pointing out on the, on the output that if we do pruning like we did before, we have errors, we did actually say when we talked about that how you would report an output. Right? If you don't have a clear answer where everything is labeled true or everything is labled false, how do you pick? So something like an average would work there. >> I don't know, I mean, it seems like it depends on what we're trying to measure with the tree. If the tree"
dE7bgpf0okQ,Decision Trees Other Considerations  Regression - Georgia Tech - Machine Learning,2-3,"is, we're trying to get as many right answers as we can, then you probably want to do like a vote in the leaves. >> Right, which ,at least, if the only answer is true or false, that would look more like an average I guess. Right, so you pick, you do a vote. So we do a vote, so we do pruning. We do have to deal with this issue of the output. Somehow ,and something like a vote mixing. And here, when you have a regression, then I guess average is a lot like voting. >> Yeah, in a continuous phase. >> Yeah. So either way we're doing a kind of voting. I like that."
khM2LClDSs4,Decision Trees Wrap up - Georgia Tech - Machine Learning,0-1,"Hi Michael, so that covers Decision Trees >> Excellent. >> So, since you are the one who is listening, you get to tell me what we have learned today? >> Well, we learned about the Decision Tree representation, we learned the top down algorithm for inducing a Decision Tree. And we call that ID3 >> All right. So we got a representation, we got a top down learning algorithm ID3. >> We learned about the, the expressiveness and the bias. >> Right. So those are 2 separate things, we learned about the sort of expressiveness. And we learned about the bias of ID3. >> And we gave one, so is this specific to ID3? We, we looked at one specific way of deciding on splits, which was to do this maximum information game."
khM2LClDSs4,Decision Trees Wrap up - Georgia Tech - Machine Learning,1-2,">> Right. So we talked about in general,um, what are good attributes or what are best attributes. So, information gain is one way of doing it. As one example. And, by the way, this notion of best attribute is something we'll end up returning to sometimes explicitly, and sometimes implicitly, throughout the entire course. And lastly, I feel like we talked about the problems with over-fitting and how in the Decision Tree context, you can prune back the tree to avoid over-fitting. >> Over-fitting is an issue. Over-fitting is always an issue and we came up with a couple of strategies for dealing with over-fitting in the context of Decision Trees. Okay! So we've learned everything there is to know about Decision Trees, there's nothing else to know. >> [LAUGH] Somehow I find that hard to believe. >> Yeah, there's a lot there and the students will get a chance to learn even more as they do the assignments. >> Cool. >> Excellent. All right Michael, thank you. >> Sure, look forward to the next chat."
D8PNnttuGZk,Regression Quiz - Georgia Tech - Machine Learning,0-1,">> Hey Charles, how you doing? >> I'm doing just fine Michael, how are you doing? >> I'm doing pretty well, thanks. I'm happy to get a chance to tell you about something today. >> Excellent, and what is it you're going to tell me about? >> We're going to talk about regression. >> Like, progression? [LAUGH]. >> No, regression. So, let me tell you about regression. So we are, in this section of the class, talking about supervised learning. And Supervised learning, in supervised learning we can take examples of inputs and outputs and based on that we are going to be able to take a new input and predict the corresponding output for that input, right. So this, this covers all of this, this the things we are talking about in the context of supervised learning, right. >> Right. >> Now, what makes regression special subtopic. We are going to be talking about mapping continuous inputs to outputs. As opposed to, what was the other thing that we were mapping, what other kinds of outputs did we think about? >> Well, we had discrete outputs and continuous outputs. >> Right, and so this is going to"
D8PNnttuGZk,Regression Quiz - Georgia Tech - Machine Learning,1-2,"be the focus on continuous. So regression seems like sort of an odd word. It doesn't really kind of fit for this. So often I think about regression as. So this is, this is me being all sad and sort of reverting back to a childhood state. And that's, you know, that's in the psychological sense, that's what regression refers to. But it turns out that, that's not what it means in this setting. But the story by which those things became linked, I think, is kind of interesting. So let me tell you about that. Okay. So, this is a picture of you Charles. >> [LAUGH] Okay. I'll accept that. >> You can tell it's you because he's really tall. And you're, you're a fairly tall man. I know you don't think of yourself that way, but you think of everyone else as being short which is really the same thing. >> Fair enough. >> Alright, so let's say that this is Charles. Let's say that this is someone of average height. Just someone at random. >> Mm-hmm. >> So now, let's pretend, Charles, that you have children. >> I do have children. >> All right. So let's, that's okay but we can just pretend, and we want to ask the question what would you expect the average height"
D8PNnttuGZk,Regression Quiz - Georgia Tech - Machine Learning,2-3,"of your children to be? Would you expect it to be sort of, you know, sort of Charles' height? Or average height or may be somewhere between. So let's let's actually ask this as a quiz."
XA9vnKoz44A,Regression Quiz Solution - Georgia Tech - Machine Learning,0-1,"Okay, Charles, so what do you, what do you think about this? >> Wait, how old are my children? >> Let's say what their adult height is going to be. >> I would expect them to be a little bit smaller than me. >> A little bit smaller than you? >> Mm-hmm. >> So, so their, the average height, their average height of your children, you would you say it would be like an average height person? Or like your height or sort of in between? >> In between. >> In between. All right. So it turns out that if you actually do this, you measure people's heights and you measure the heights of their children, that that is in fact what you tend to see. That very, very tall people, like you tend to have taller than average children. But the height is between. It actually regresses to the mean. And here we really do mean regresses in the sense of going back to this kind of more primitive state that, if you think about average height people, as being like your ancestors, then, you know, you as a, as a very tall person tend to have kids that that tend regress back"
XA9vnKoz44A,Regression Quiz Solution - Georgia Tech - Machine Learning,1-2,"toward that average value that sort of, more older, more ancient value. So does that that make some sense to you? >> That makes some sense. But one comment and one question. Comment, that is awesome because I've always actually wondered what regresses to the mean actually means. The second, what prevents us from all being the same height then? >> Yes, so what, what seems to be happening is that there's a kind of a noisy process and some people turn out to be taller, but then the, then the next generation there's a little bit of a history effect in people stay taller, but it tends to drift back towards the mean. So it's, so it's, it's sort of like a random walk, to some extent. >> Oh, that actually kind of makes sense."
zQLP2UQDND0,Regression and Function Approximation,0-1,"Alright, so what does this have to do with function approximation or regression. So how does this notion of regression of falling back toward the mean have to do with this idea of approximating functions, mapping inputs to outputs, it seems kind of odd. So it turns out that the relationship is, here's the, here's the connection between them. I'm going to draw a graph and on this axis will be the parent height. And on this axis will be the average child height. So if we plot these against each other, let's let me put the mean up here. Let's say that this is mean height for the population. And now say that you know pair, we sort of imagine that parents of average height will have children of average height. But parents that are really tall, like that hypothetical person from before, will have children that are taller than average but not as tall as themselves. And similarly people that are very"
zQLP2UQDND0,Regression and Function Approximation,1-2,"let's say of smaller stature will have children that are also you know short. And, but not quite as short again closer to the mean. And it turns out that you have this, this very nice linear relationship between these quantities, and, there's an important aspect to this. Which is that the slope of this line is less than one, it's two thirds. Right. If the slope of this line was one, what would that mean Charles? >> That would mean that everybody's children had the, would, the same height of their parents. >> Right, right, and so that's exactly right, and so but if this slope is less than one, like it is, it turns out to be in, in real populations. Then what's happening is the children are little shorter than the parents. Children of taller parents are shorter than they are. And the children of short parents are taller than they are. And that's the fact that this is less than one is what makes it regression to the mean. Now this, this was worked out in I believe in"
zQLP2UQDND0,Regression and Function Approximation,2-3,"the late 1800s and it was just such a beautiful way of connecting all these different quantities together. To kind of think of them as being related in this functional way. That people said, oh this is really great. I'm going to use this idea of regression. And what they started to mean actually was this not this idea of regression to the mean. But this idea of finding a, a mathematical relationship based on a bunch of measurements of points. So this term ended up getting misused. But that's the term that we have now. So regression now refers to not this idea of collapsing back towards, towards the mean, but, the idea of using functional form to approximate a bunch of data points. Isn't that weird. >> That's pretty cool. >> There's another example of this sort of idea where where a reasonable word, like, like regression which we're referring to some physical thing in the, in the world due to experiments like psych experiments at this point became this mathematical concept where the name doesn't really fit anymore, like there isn't really anything regressing in what we're doing. >> Mm-hm."
zQLP2UQDND0,Regression and Function Approximation,3-4,">> There's another, really important example that we're going to get to the later in the course. Do you, do you know what I'm thinking of Charles? >> No. >> So reinforcement learning is my field of study. And often your field of study. >> Often. >> Often. And it turns out that reinforcement learning doesn't mean what the words mean anymore. That this was a concept that the psychologist used to explain what they were observing. And then some mathematicians, well let's call them computer scientists, took the word themselves, started to use it and used it wrong, but now it stuck. [LAUGH] And regression is another example like that. They, the word is sort of being used wrong, but it stuck and that's what we're going to use. >> This explains why every time I have a conversation with a psychologist about reinforcement learning, we talk past each other. >> Yes, they get very confused. I tried it to tell them upfront that's not really what I mean, but I'm going to use the words anyway, but it still confuses them. >> Hmm."
Kto_QBCR9q0,Linear Regression,0-1,"Alright, so, one of the things that's very helpful about regression is that in many ways it's very simple to visualize, it's very simple to think about what some of the issues are and all the various topics in machine learning that are really important to understand and sometimes are difficult concepts really do come up in a fairly easy to understand way. So what I'd like to do now is to step through an example Of doing some regression and to point out what some of the pitfalls are and how they're generally handled in the machine learning context. So, this graph that I put up here, is, we just made these numbers up, but it's supposed to tell us a, a little bit about housing prices. So let's imagine that we're off to buy a house and What we notice is that there's lots of different houses on the market, and there are lots of different, sizes, right. So ,the square footage of the house can vary. And in this case the houses that I visited can be between, about 1,000 to 10,000 square feet. And of course, as you get bigger houses, you tend to get more, the, the"
Kto_QBCR9q0,Linear Regression,1-2,"prices tend to go up, too. Alright, so the price that the house cost is, tends to rise with the size of the house. So, what I've done here is I've plotted as a little x say a set of nine houses that I've observed. Start off over here with a house that's a 1,000 square feet and cost a $1,000? I don't know what year this happened in. And we end up with a house that is 10,000 square feet and cost about $6,000. Again, I don't. This is not true in Providence Rhode Island, I'll tell you that. >> Are you sure? >> Yeah, I'm pretty sure. >> Yeah, it's really not true in Atlanta Georgia. >> So Alright... So, so, so imagine that this is the relationship we observe. But now we want to answer a question like, Well, what happens If we find a house on the market and it's about $5,000, what do you think a fair price for that would be? So what do you, what do you think, Charles? Looking at this, what do you think a fair price for a 5,000 square foot house would be? >> Apparently about $5,000. >> About, $5,000. Right. So, how did you do that?"
Kto_QBCR9q0,Linear Regression,2-3,">> I looked at the graph, I went over to 5,000 square feet at the x-axis and I went up. Until I found ,where one of the x's was on the y axis and I said, oh, that's about 5,000 square feet. >> Well, but there was no corresponding point for that, so you had to interpolate or something ,uh, based on the points that were there you had to kind of imagine what might, might be happening at the 5,000 square foot mark, right? >> That's true, although this one was a little easy because at 4,000 and 6,000 square feet, they were almost exactly the same. >> Mm, and so that, to you, made it feel like there was probably ,um, that's probably the level where things in this range would be. >> Yeah. >> Okay. Alright, that seems kind of reasonable. So sure, though what we're going to do in this case is actually try to find a, a function that fits this. >> Mm-hm. >> Alright ,so what we can do is actually say, well what if there is a linear relationship. What would be the best linear function that captures the relationship between the size and the cost. So ,what I have here is, it turns out of all the possible"
Kto_QBCR9q0,Linear Regression,3-4,"linear functions, this is the one that minimizes the squared error, the squared deviation, between these x points and the corresponding position on green line. So it finds a way of balancing all those different errors against each other and that's the best line we've got. Now in this particular case, it's interesting right, because if you put your idea of 5,000 square feet. Look what this line predicts. It's something more like $4,000, right. Do you see that? >> I do. That is doesn't seem right to me. >> It doesn't, yeah, it doesn't really look like a very good fit. But it does at least capture the fact that there is increasing cost with, with increase in size. >> That's true."
dewLtKqna04,Quiz Quiz Solution - Georgia Tech - Machine Learning,0-1,"Alright. So it's worth asking, how do we find this best line? So again there's an infinite number of lines. How do we find one that fits these points the best. And again we're defining best fit. As the one that has the least squared error, where the error is going to be some of the distances between these x points and the green line that we, that we fit. I'm not even sure that this really is the best fit in this case. I just kind of hand drew it. So, okay. So is this something that we, that we would want to solve by hill climbing which is to say, we kind of pick the. The slope and the intercept of the line, and we just kind of try different values of this until it gets better and better and then we can't get any better, and we stop. Can we do this using calculus? Can we use random search, where we just like, pick a random M, pick a random B, and see if we're happy with it? Or is this the sort of thing where we probably would just go and ask a physicist because it involves, like, continuous quantities, and we're discrete people? And that's the correct answer. All right. So let's actually go through that exercise and derive how we do that. because it's not so bad in two dimensions and it generalizes to higher dimensions as well. >> Okay. >> So it turns out that we can use calculus to do this, I am not going to step through the two-variable example for reasons that I am embarrassed to say. But I am going to show you a different example. So imagine that what we're trying to do is that we've got a bunch of data points, and we're trying to find the best constant function, right? So the best function that has the form, the value of the function for any given X is always the same constant, C. So if our data looks like this, we got a bunch of X's and a bunch of Y's, then what we're going to do, we're going to say for any given value of C, any given constant, we can have an error. What's the error going to be? The error is going to be the sum over all of the data points. Speaker 1: The square difference between that constant we chose and what"
dewLtKqna04,Quiz Quiz Solution - Georgia Tech - Machine Learning,1-2,"the actual yi value is. So that's why. >> Michael. >> These differences here. Yes, Charles. >> Can I ask you a question? >> Sure. >> Why are we doing sum of squares? >> There is many different error functions and sometimes called a, a relative concept called the loss function. There is lots of difference once that could work, you can do the absolute error, you can do the squared error, you can do various kinds of squashed errors where you know. The errors count different depending on how, how much deviation there is. It turns out that this one is particularly well behaved because of this reason that I'm explaining now that that because this error function is smooth as a function of the constant C, we can use calculus to actually find the minimum error value. But there's lots of other things that could work and they actually do find utility in various different machine learning settings. >> Okay. >> So just now using the chain rule, if you want to find how do this error function output change as a function of input c. We"
dewLtKqna04,Quiz Quiz Solution - Georgia Tech - Machine Learning,2-3,"can take the derivative of this sum you know, bring the two over. Times this, times the derivative of the inside, which is negative one in this case. And now this gives us a nice, smooth function saying what the error is as a function of c. And if we want to find the minimum, what do we want to do to this quantity? >> Set it equal to zero, because that's what I remember from Calculus. >> That's right. So in particular if the error you know, the error function is a nice smooth thing the derivative is negative and then zero and then positive. When it hits zero that's when the thing has bottomed-out. Alright. So now we just need to solve this, this equation for c. So we have one equation and one unknown. Alright, so that gets us this. But, this quantity, it's just the constant added to itself n times. So it's n times c. We move that to the other side. We get n times c. N is the number of data points as you recall. Is the sum of the yi's. We divide"
dewLtKqna04,Quiz Quiz Solution - Georgia Tech - Machine Learning,3-4,"two by n and what do we see? So what is it Charles? >> The best constant is the average of all your y's. >> Great, it's the mean. The mean comes back. Right, so in the case of finding the best constant here, we just have to average the y, the y's together and that catches thing that minimizes the squared air. So squared air is this really nice thing because it tends to bring things like mean back into the picture. It's really very convenient. And, it generalizes to higher, higher order of function tier, not higher functions, but more variables like, like lines. Sorry. Lines that have some, some non constant slope. By doing the same kind of process and things actually work really nicely."
JAMf1QWpcWs,Order of Polynomial,0-1,"Alright, so now let's, let's get back to our data set that we were looking at before. So again, the ideas that we're, we're going to try to find a way of predicting the value for various points along the way on this curve. And one thing we could do is find the best line. But we also talked now about finding the best constant. Turns out these all belong to a family of functions that we could fit. Which are functions of this form. Alright. We've got x is our input and what we're going to do is we're going to take some constant and add that to some scaled version of x times some scaled version of x squared plus some scaled version of x cubed, all the way up to some order k. And we've talked about k equals zero, the constant function. And k equals one, the line. But there's also k equals two, parabola. Would it probably be a good choice at this particular case? >> Yes. >> It does seem like it's got, sort of, curvy downy nature, right? >> Mm hm. >> It's going up and it's kind of flattening out and maybe we could imagine that it starts coming down again? At least, over the course of these points, it doesn't come down again but at least it sort of"
JAMf1QWpcWs,Order of Polynomial,1-2,"flattened out. So let's take a look at that. Let's take a look at the. The best parabola to fit this. Alright, so, so here we go. We've got the, the best line now, the best constant function which is just the average. We have the best line with some slope to it. That's the green one. We have now the best parabola and look at it, it does, it does a nice job, right? Kind a gets, gets tucked in with all those other points. so, so what do you think? Is this the best way of, of capturing this. This particular set of points? >> Well, if the only thing we care about is minimizing the sum of squared error, my guess is that the parabola has less squared error. >> Yeah. It ha, there's more degrees of freedom so at the worst we could have just fit the parabola as a line. Right. We can always just set any of these coefficients to, to zero. So if the best fit to this really was a line. The best fit to this data point was a line, then the parabola that we see here wouldn't have any curve to it. So,"
JAMf1QWpcWs,Order of Polynomial,2-3,"yeah. Our arrows going down. Hm, As we have gone from order zero to order one to order two. So can you think of any other way getting there in order to getting down even more. >> How about order 14 million. >> Interesting, while in this particular case, given the amount of data that we have, we can't go past the number of data points, yeh after that. They're really unconstrained. >> Okay. Then how about order nine? >> Order nine is a good idea. But just to give you an idea here, we're going to step up a little more. This is order four and look at, look at how lovely it can actually capture the flow here. That's, very faded. Order six and in fact the best we can do here is of the, of the, sorry. The most, the highest order that, that works is order eight. And, son of a gun, look what it did. It hit every single point dead on in the center. Boom. Boom. Boom. Boom. It used all the degrees of freedom it had to reduce the error to essentially zero. >> Excellent. >> So [LAUGH], one could argue that this is a really good idea. Though, if you look at what happens around 9000,"
JAMf1QWpcWs,Order of Polynomial,3-4,"there's some craziness. Do you see that? >> I do. >> At the Yeah, the To try to get this particular parabola to hit that particular point, it sent the curve soaring down with an up again. >> We also did that between 6500 and 8500, it sent [CROSSTALK]. >> Yes good point >> [UNKNOWN] [CROSSTALK] >> Right, right, that's right went off the top of the plot. So Yeah, that's kind of [INAUDIBLE]. But let's just, just to show that we really are, as we have more degrees of freedom we're fitting the error better. Let me show you what it looks like, the amount of error for the best fit for each of these orders of k. Alright and so, so what you see when we actually plot the, the squared error, this function that we're trying to minimize. As we go from order zero to order one, order two, order three, order four, order five, all the way to eight. By eight, there is no error left because it nailed every single point. So you know its kind of a good, nut it doesn't feel quite right like the curves that we're looking there looked a little bit crazy."
zA5QNkJspxY,intro to charles and michael,0-1,"All right, so let's, let's do a quiz. Give you a chance to kind of think about what where are these trade-offs are actually going to be. So we're going to pick the degree for the housing data, and your choices are going to be the degree zero, one, two, three, or eight. So a constant, that's the first choice. Or a line that has some slope that, you know, sort of increases with the data, that's your second choice. Or it could be we use a degree two parabola. So sort of goes up and then levels off. Or you can it might be a little hard to see but here's a cubic that that goes up flattens out a little bit and then rises up again at the end. Or we could go with the full monty, the octic. You can see that might not be spelled correctly. That actually has enough degrees of freedom that it can hit each of these points perfectly. Like that. >> The authority line. >> [LAUGH] Good, you got that in. Hi Michael.
>> Hey Charles, how's it going? >> It's going quite well,
how's it going with you? >> Good.
Good. >> Good Good. So, today I thought we would talk
a little bit about the philosophy of Machine Learning. >> Oh, I hate philosophy. >> I don't like it much either,
although I am a doctor of philosophy. >> Oh, that's very impressive. >> Aren't you a doctor
of philosophy too? >> I am, it's kind of impressive. >> It is kind of impressive. So what we wanted to kind of get across
today was a little bit about why we, the class is structured the way it is. What the different parts are. And maybe go a little bit of back and forth about what we think you should
be getting out of the course. That seem reasonable? >> Sure. >> Okay.
Well, so, first off, by the way, before we get
started, I wanted to thank you for coming down to Atlanta, and
joining me in these beautiful, studios. >> Well, it's, it's,
it's very nice to be here. Thank you for inviting me. >> Oh, no, no, thank you for
coming, Michael. >> Thank you for
asking me to do the course. This has been a lot of fun. >> Oh, the whole point was to be able
to do the course with you, Michael. We like each other, and that's one of
the things that we want you to get, want to get across in this class,
because we like machine learning. We've a lot of stuff in common, but I'm
not sure we completely agree on the most"
zA5QNkJspxY,intro to charles and michael,1-2,"important parts of machine learning and
why we do the things that we do. >> Hm, all right. >> So
I think people in the outside world, Michael, would claim that you're
more theoretical than I am. >> In theory. >> In theory, and
I'm more practical than you are. >> Practically. >> At least in practice. And hopefully some of that tension
will come out in the class. But I think in order to see why
that tension works that way, you have to understand
what machine learning is. So, Michael. >> Right. >> What's machine learning? >> It's about proving theorems. >> [LAUGH] No. >> No.
>> I would not say it's about proving theorems, although proving theorems is
often important in machine learning. >> I agree with that. >> Okay.
>> So we're on the same page. >> We're partially on the same page. What is machine learning? >> What is machine learning? >> Give me a definition. >> So it is computational statistics. How's that for a definition? >> That is a definition. It is wrong on so many levels. However, a lot of people would
agree with that statement. They would say that machine learning
is really just applied statistics. >> Not applied statistics. Computational statistics. >> Computationally applied statistics."
